Name	Accession	Category	Origin	Source_Species	GenGroup90	GenGroup80	GenGroup
PI_472590_LSP	KP:GERM29122	Germplasm_Accession	Lebanon	Lens_culinaris			3
PI_472615_LSP	KP:GERM29123	Germplasm_Accession	Jordan	Lens_culinaris			7
PI_472629_LSP	KP:GERM29124	Germplasm_Accession	Iran	Lens_culinaris	1	1	1
PI_477921_LSP	KP:GERM29125	Germplasm_Accession	USA	Lens_culinaris			8
PI_490288_LSP	KP:GERM29126	Germplasm_Accession	France	Lens_culinaris	8	8	8
PI_490289_LSP	KP:GERM29127	Germplasm_Accession	France	Lens_culinaris			8
PI_508090	KP:GERM29128	Germplasm_Accession	USA	Lens_culinaris			8
PI_518731_LSP	KP:GERM28963	Germplasm_Accession	Brazil	Lens_culinaris	8	8	8
PI_518733_LSP	KP:GERM29129	Germplasm_Accession	Brazil	Lens_culinaris		8	8
PI_518734_LSP	KP:GERM29130	Germplasm_Accession	Brazil	Lens_culinaris		8	8
PI_533688_LSP	KP:GERM29131	Germplasm_Accession	Spain	Lens_culinaris			7
PI_533693_LSP	KP:GERM29132	Germplasm_Accession	Spain	Lens_culinaris	8	8	8
PI_612875	KP:GERM29133	Germplasm_Accession	Syria	Lens_culinaris			2
PI_643451	KP:GERM29134	Germplasm_Accession	Syria	Lens_culinaris			4
PI_643452	KP:GERM29135	Germplasm_Accession	Syria	Lens_culinaris			4
SHASTA	KP:GERM29136	Germplasm_Accession	USA	Lens_culinaris			8
W6_27754	KP:GERM29137	Germplasm_Accession	Canada	Lens_culinaris	8	8	8
W6_27760_LSP	KP:GERM29138	Germplasm_Accession	Egypt	Lens_culinaris			8
W6_27763_LSP	KP:GERM29139	Germplasm_Accession	Jordan	Lens_culinaris	5	5	5
W6_27766_LSP	KP:GERM29140	Germplasm_Accession	Syria	Lens_culinaris			2
W6_27767_LSP	KP:GERM29141	Germplasm_Accession	Bangladesh	Lens_culinaris	2	2	2
