Name	Accession	Category	Origin	Source_Species	GenGroup90	GenGroup80	GenGroup
CN_105863	KP:GERM28853	Germplasm_Accession	Tunisia	Lens_culinaris			3
CN_105864	KP:GERM28854	Germplasm_Accession	Tunisia	Lens_culinaris			8
CN_105865	KP:GERM28855	Germplasm_Accession	Tunisia	Lens_culinaris	7	7	7
CN_105866	KP:GERM29021	Germplasm_Accession	Tunisia	Lens_culinaris		7	7
CN_105895	KP:GERM28856	Germplasm_Accession	Egypt	Lens_culinaris	5	5	5
CN_106265	KP:GERM28857	Germplasm_Accession	Egypt	Lens_culinaris		8	8
CN_108369	KP:GERM28858	Germplasm_Accession	Libya	Lens_culinaris			8
CN_108370	KP:GERM28859	Germplasm_Accession	Libya	Lens_culinaris	8	8	8
CRIMSON	KP:GERM28860	Germplasm_Accession	USA	Lens_culinaris			8
DPL-62	KP:GERM28861	Germplasm_Accession	India	Lens_culinaris			4
ESTON_UOFS	KP:GERM28862	Germplasm_Accession	Canada	Lens_culinaris	8	8	8
GUDO	KP:GERM28863	Germplasm_Accession	Ethiopia	Lens_culinaris			7
IG_1046	KP:GERM28864	Germplasm_Accession	Egypt	Lens_culinaris	1	1	1
IG_1706	KP:GERM28865	Germplasm_Accession	Ethiopia	Lens_culinaris			1
IG_1959	KP:GERM28866	Germplasm_Accession	Ethiopia	Lens_culinaris	3	3	3
IG_4258	KP:GERM28867	Germplasm_Accession	India	Lens_culinaris			1
IG_4781	KP:GERM28868	Germplasm_Accession	Algeria	Lens_culinaris	3	3	3
IG_858	KP:GERM28869	Germplasm_Accession	Algeria	Lens_culinaris	4	4	4
ILL_10657	KP:GERM28870	Germplasm_Accession	Turkey	Lens_culinaris	7	7	7
ILL_10748	KP:GERM28871	Germplasm_Accession	Syria	Lens_culinaris	8	8	8
ILL_11547	KP:GERM28872	Germplasm_Accession	Ethiopia	Lens_culinaris			5
ILL_11548	KP:GERM28873	Germplasm_Accession	Ethiopia	Lens_culinaris			8
ILL_11553	KP:GERM28874	Germplasm_Accession	India	Lens_culinaris	8	8	8
ILL_11555	KP:GERM28875	Germplasm_Accession	India	Lens_culinaris			4
ILL_11557	KP:GERM28876	Germplasm_Accession	India	Lens_culinaris		4	4
ILL_11558	KP:GERM28877	Germplasm_Accession	India	Lens_culinaris	4	4	4
ILL_1220	KP:GERM28878	Germplasm_Accession	Iran	Lens_culinaris		1	1
ILL_1553	KP:GERM28879	Germplasm_Accession	Iran	Lens_culinaris	1	1	1
ILL_1762	KP:GERM28880	Germplasm_Accession	Afghanistan	Lens_culinaris		6	6
ILL_1983	KP:GERM28881	Germplasm_Accession	Ethiopia	Lens_culinaris	4	4	4
ILL_213	KP:GERM28882	Germplasm_Accession	Afghanistan	Lens_culinaris		6	6
ILL_2194	KP:GERM28883	Germplasm_Accession	Pakistan	Lens_culinaris			5
ILL_2507	KP:GERM28884	Germplasm_Accession	India	Lens_culinaris	4	4	4
ILL_2580	KP:GERM28885	Germplasm_Accession	India	Lens_culinaris			5
ILL_28	KP:GERM28886	Germplasm_Accession	Syria	Lens_culinaris		7	7
ILL_3025	KP:GERM28887	Germplasm_Accession	India	Lens_culinaris	4	4	4
ILL_313	KP:GERM28888	Germplasm_Accession	Israel	Lens_culinaris			8
ILL_3347	KP:GERM28889	Germplasm_Accession	India	Lens_culinaris	4	4	4
ILL_358	KP:GERM28890	Germplasm_Accession	Mexico	Lens_culinaris			5
ILL_3597	KP:GERM28891	Germplasm_Accession	India	Lens_culinaris	4	4	4
ILL_4164	KP:GERM28892	Germplasm_Accession	India	Lens_culinaris	2	2	2
ILL_4400	KP:GERM28893	Germplasm_Accession	Syria	Lens_culinaris			7
ILL_4605	KP:GERM28894	Germplasm_Accession	Argentina	Lens_culinaris			7
ILL_4609	KP:GERM28895	Germplasm_Accession	Pakistan	Lens_culinaris	4	4	4
ILL_4665	KP:GERM28896	Germplasm_Accession	Hungary	Lens_culinaris			7
ILL_4671	KP:GERM28897	Germplasm_Accession	USA	Lens_culinaris	7	7	7
ILL_4768	KP:GERM28898	Germplasm_Accession	Yemen	Lens_culinaris	5	5	5
ILL_4782	KP:GERM28899	Germplasm_Accession	Norway	Lens_culinaris		1	1
ILL_4783	KP:GERM28900	Germplasm_Accession	Czech_Republic	Lens_culinaris			8
ILL_4804	KP:GERM28901	Germplasm_Accession	Libya	Lens_culinaris			8
ILL_4875	KP:GERM28902	Germplasm_Accession	Uzbekistan	Lens_culinaris	6	6	6
ILL_4956	KP:GERM28903	Germplasm_Accession	Portugal	Lens_culinaris	8	8	8
ILL_5058	KP:GERM28904	Germplasm_Accession	Spain	Lens_culinaris			7
ILL_5151	KP:GERM28905	Germplasm_Accession	India	Lens_culinaris	5	5	5
ILL_5209	KP:GERM28906	Germplasm_Accession	Jordan	Lens_culinaris	5	5	5
ILL_5480	KP:GERM28907	Germplasm_Accession	Czech_Republic	Lens_culinaris			8
ILL_5639	KP:GERM28908	Germplasm_Accession	Ethiopia	Lens_culinaris			8
ILL_5722	KP:GERM28909	Germplasm_Accession	Turkey	Lens_culinaris			7
ILL_5883	KP:GERM28910	Germplasm_Accession	Jordan	Lens_culinaris	5	5	5
ILL_5888	KP:GERM28911	Germplasm_Accession	Bangladesh	Lens_culinaris			7
ILL_5945	KP:GERM28912	Germplasm_Accession	Ethiopia	Lens_culinaris	5	5	5
ILL_6002	KP:GERM28913	Germplasm_Accession	Syria	Lens_culinaris			8
ILL_6182	KP:GERM28915	Germplasm_Accession	Tunisia	Lens_culinaris			8
ILL_618	KP:GERM28914	Germplasm_Accession	Tajikistan	Lens_culinaris	6	6	6
ILL_6211	KP:GERM28916	Germplasm_Accession	Syria	Lens_culinaris			8
ILL_624	KP:GERM28917	Germplasm_Accession	Macedonia	Lens_culinaris	8	8	8
ILL_6821	KP:GERM28918	Germplasm_Accession	Syria	Lens_culinaris	5	5	5
ILL_6853	KP:GERM28919	Germplasm_Accession	Syria	Lens_culinaris		7	7
ILL_7089	KP:GERM28920	Germplasm_Accession	Russia	Lens_culinaris	1	1	1
ILL_7558	KP:GERM28921	Germplasm_Accession	India	Lens_culinaris			7
ILL_7663	KP:GERM28922	Germplasm_Accession	Syria	Lens_culinaris			4
ILL_7668	KP:GERM28923	Germplasm_Accession	Syria	Lens_culinaris			4
ILL_7716	KP:GERM28924	Germplasm_Accession	India	Lens_culinaris			7
ILL_7747	KP:GERM28925	Germplasm_Accession	Syria	Lens_culinaris			2
ILL_7946	KP:GERM28926	Germplasm_Accession	Syria	Lens_culinaris	5	5	5
ILL_7978	KP:GERM28927	Germplasm_Accession	Ethiopia	Lens_culinaris			5
ILL_7979	KP:GERM28928	Germplasm_Accession	Syria	Lens_culinaris			4
ILL_8007	KP:GERM28929	Germplasm_Accession	Bangladesh	Lens_culinaris			4
ILL_8009	KP:GERM28930	Germplasm_Accession	Bangladesh	Lens_culinaris	4	4	4
ILL_8010	KP:GERM28931	Germplasm_Accession	Bangladesh	Lens_culinaris			4
ILL_8072	KP:GERM28932	Germplasm_Accession	India	Lens_culinaris		7	7
ILL_8174	KP:GERM28933	Germplasm_Accession	Nepal	Lens_culinaris			8
ILL_8595	KP:GERM28934	Germplasm_Accession	Ecuador	Lens_culinaris			8
ILL_975	KP:GERM28936	Germplasm_Accession	Chile	Lens_culinaris	5	5	5
ILL_9888	KP:GERM28937	Germplasm_Accession	Syria	Lens_culinaris			5
ILL_9932	KP:GERM28938	Germplasm_Accession	Syria	Lens_culinaris			4
ILL_9945	KP:GERM28939	Germplasm_Accession	Syria	Lens_culinaris			4
ILL_9977	KP:GERM28940	Germplasm_Accession	Syria	Lens_culinaris			4
ILL_9997	KP:GERM28941	Germplasm_Accession	Syria	Lens_culinaris			4
ILL_9	KP:GERM28935	Germplasm_Accession	Jordan	Lens_culinaris			7
ILWL_118	KP:GERM29142	Germplasm_Accession	Syria	Lens_orientalis		4	4
Indian_Head	KP:GERM28942	Germplasm_Accession	Canada	Lens_culinaris	8	8	8
IPL_220	KP:GERM28943	Germplasm_Accession	India	Lens_culinaris	4	4	4
LAIRD	KP:GERM28944	Germplasm_Accession	Canada	Lens_culinaris		8	8
LIRL-22-46	KP:GERM28945	Germplasm_Accession	India	Lens_culinaris			7
PI_163589	KP:GERM28946	Germplasm_Accession	Guatemala	Lens_culinaris	7	7	7
PI_169534_LSP	KP:GERM28947	Germplasm_Accession	Turkey	Lens_culinaris	8	8	8
PI_175754_LSP	KP:GERM28948	Germplasm_Accession	Turkey	Lens_culinaris			8
PI_177430_LSP	KP:GERM28949	Germplasm_Accession	Turkey	Lens_culinaris			2
