"Name"	"Name-vcf"	"Accession"	"Category"	"Origin"	"Source_Species"	"GenGroup90"	"GenGroup80"	"GenGroup"	"Long"	"Lat"	"Notes"
"PI_431753_LSP"	"PI_431753_LSP_AGL"	"KP:GERM29075"	"Germplasm_Accession"	"Iran"	"Lens_culinaris"	3	3	3	"na"	"na"	
"PI_431756_LSP"	"PI_431756_LSP_AGL"	"KP:GERM29076"	"Germplasm_Accession"	"Iran"	"Lens_culinaris"	3	3	3	"na"	"na"	
"PI_431863_LSP"	"PI_431863_LSP_AGL"	"KP:GERM29079"	"Germplasm_Accession"	"Iran"	"Lens_culinaris"			3	"na"	"na"	
"PI_432002_LSP"	"PI_432002_LSP_AGL"	"KP:GERM29088"	"Germplasm_Accession"	"Iran"	"Lens_culinaris"			3	"na"	"na"	
"PI_432028_LSP"	"PI_432028_LSP_AGL"	"KP:GERM29090"	"Germplasm_Accession"	"Iran"	"Lens_culinaris"	3	3	3	"na"	"na"	
"PI_432033_LSP"	"PI_432033_LSP_AGL"	"KP:GERM29091"	"Germplasm_Accession"	"Iran"	"Lens_culinaris"	3	3	3	"na"	"na"	
"PI_432124_LSP"	"PI_432124_LSP_AGL"	"KP:GERM29094"	"Germplasm_Accession"	"Iran"	"Lens_culinaris"	3	3	3	"na"	"na"	
"PI_432145_LSP"	"PI_432145_LSP_AGL"	"KP:GERM29095"	"Germplasm_Accession"	"Iran"	"Lens_culinaris"	3	3	3	"na"	"na"	
"PI_432147_LSP"	"PI_432147_LSP_AGL"	"KP:GERM29096"	"Germplasm_Accession"	"Iran"	"Lens_culinaris"	3	3	3	"na"	"na"	
"PI_432212_LSP"	"PI_432212_LSP_AGL"	"KP:GERM29101"	"Germplasm_Accession"	"Iran"	"Lens_culinaris"	3	3	3	"na"	"na"	
"PI_432236_LSP"	"PI_432236_LSP_AGL"	"KP:GERM29102"	"Germplasm_Accession"	"Jordan"	"Lens_culinaris"	3	3	3	"na"	"na"	
"PI_472590_LSP"	"PI_472590_LSP_AGL"	"KP:GERM29122"	"Germplasm_Accession"	"Lebanon"	"Lens_culinaris"			3	"na"	"na"	
"CN_105863"	"CN_105863_AGL"	"KP:GERM28853"	"Germplasm_Accession"	"Tunisia"	"Lens_culinaris"			3	"na"	"na"	
"PI_299237_LSP"	"PI_299237_LSP_AGL"	"KP:GERM29006"	"Germplasm_Accession"	"Chile"	"Lens_culinaris"			3	-36.6	-72.116667	
"PI_299351"	"PI_299351_LSP_AGL"	"KP:GERM29010"	"Germplasm_Accession"	"Chile"	"Lens_culinaris"	3	3	3	-37.883333	-71.183333	
"ILL_8007"	"ILL_8007_AGL"	"KP:GERM28929"	"Germplasm_Accession"	"Bangladesh"	"Lens_culinaris"			4	"na"	"na"	
"ILL_8009"	"ILL_8009_AGL"	"KP:GERM28930"	"Germplasm_Accession"	"Bangladesh"	"Lens_culinaris"	4	4	4	"na"	"na"	
"ILL_8010"	"ILL_8010_AGL"	"KP:GERM28931"	"Germplasm_Accession"	"Bangladesh"	"Lens_culinaris"			4	"na"	"na"	
"PI_472569_LSP"	"PI_472569_LSP_AGL"	"KP:GERM29120"	"Germplasm_Accession"	"Egypt"	"Lens_culinaris"	4	4	4	"na"	"na"	
"CN_105604"	"CN_105604_AGL"	"KP:GERM28844"	"Germplasm_Accession"	"Ethiopia"	"Lens_culinaris"	4	4	4	"na"	"na"	
"ILL_1983"	"ILL_1983_AGL"	"KP:GERM28881"	"Germplasm_Accession"	"Ethiopia"	"Lens_culinaris"	4	4	4	"na"	"na"	
"DPL-62"	"DPL_62_AGL"	"KP:GERM28861"	"Germplasm_Accession"	"India"	"Lens_culinaris"			4	"na"	"na"	
"ILL_11555"	"ILL_11555_AGL"	"KP:GERM28875"	"Germplasm_Accession"	"India"	"Lens_culinaris"			4	"na"	"na"	
"ILL_11557"	"ILL_11557_AGL"	"KP:GERM28876"	"Germplasm_Accession"	"India"	"Lens_culinaris"		4	4	"na"	"na"	
